lineItem/UsageAccountId,lineItem/ProductCode,lineItem/UsageType,product/region,lineItem/UsageStartDate,lineItem/UnblendedCost,lineItem/CurrencyCode
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-08-01T00:00:00Z,42.10,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-08-01T00:00:00Z,8.32,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-08-01T00:00:00Z,19.75,USD
111122223333,AWSLambda,Request,us-east-1,2026-08-01T00:00:00Z,2.14,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-08-02T00:00:00Z,41.87,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-08-02T00:00:00Z,8.40,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-08-02T00:00:00Z,19.75,USD
111122223333,AWSLambda,Request,us-east-1,2026-08-02T00:00:00Z,2.30,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-08-03T00:00:00Z,43.02,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-08-03T00:00:00Z,8.51,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-08-03T00:00:00Z,19.80,USD
111122223333,AmazonCloudFront,DataTransfer-Out-Bytes,eu-west-1,2026-08-03T00:00:00Z,5.60,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-08-04T00:00:00Z,42.55,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-08-04T00:00:00Z,8.48,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-08-04T00:00:00Z,19.75,USD
111122223333,AWSLambda,Request,us-east-1,2026-08-04T00:00:00Z,2.05,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-08-05T00:00:00Z,41.90,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-08-05T00:00:00Z,8.55,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-08-05T00:00:00Z,19.90,USD
111122223333,AmazonCloudFront,DataTransfer-Out-Bytes,eu-west-1,2026-08-05T00:00:00Z,5.75,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-08-06T00:00:00Z,187.44,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-08-06T00:00:00Z,8.60,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-08-06T00:00:00Z,19.75,USD
111122223333,AWSLambda,Request,us-east-1,2026-08-06T00:00:00Z,2.40,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-08-07T00:00:00Z,42.30,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-08-07T00:00:00Z,8.62,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-08-07T00:00:00Z,19.80,USD
111122223333,AmazonCloudFront,DataTransfer-Out-Bytes,eu-west-1,2026-08-07T00:00:00Z,5.65,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-08-08T00:00:00Z,42.75,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-08-08T00:00:00Z,8.58,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-08-08T00:00:00Z,19.75,USD
111122223333,AWSLambda,Request,us-east-1,2026-08-08T00:00:00Z,2.20,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-08-09T00:00:00Z,42.60,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-08-09T00:00:00Z,8.65,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-08-09T00:00:00Z,19.85,USD
111122223333,AmazonCloudFront,DataTransfer-Out-Bytes,eu-west-1,2026-08-09T00:00:00Z,5.70,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-08-10T00:00:00Z,43.10,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-08-10T00:00:00Z,8.70,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-08-10T00:00:00Z,19.75,USD
111122223333,AWSLambda,Request,us-east-1,2026-08-10T00:00:00Z,2.35,USD
